xf86-video-vmware       X.org vmware video driver
xf86-input-vmmouse      X.org VMWare Mouse input driver

xf86-input-synaptics    Synaptics driver for notebook touchpads

xf86-video-nouveau      Open Source 3D acceleration driver for nVidia cards
xf86-video-intel        X.org Intel i810/i830/i915/945G/G965+ video drivers
xf86-video-amdgpu       X.org amdgpu video driver
xf86-video-ati          X.org ati video driver

xf86-video-openchrome   X.Org Openchrome drivers
xf86-video-qxl          Xorg X11 qxl video driver
xf86-video-voodoo       X.org 3dfx Voodoo1/Voodoo2 2D video driver

xf86-input-evdev        X.org evdev input driver
xf86-input-void         X.org void input driver
xf86-video-dummy        X.org dummy video driver

